agent_id,best_match_source_field,full_name,match_confidence,orcid_id,target_name
62671,,Alphonse Louis Paul Matruchot,,0000-0002-1397-5523,
62671,,Alphonse Louis Paul Matruchot,,0000-0001-8259-8744,
62671,,Alphonse Louis Paul Matruchot,,0009-0000-5586-2159,
62671,,Alphonse Louis Paul Matruchot,,0000-0002-3234-054X,
62671,,Alphonse Louis Paul Matruchot,,0000-0003-4351-4127,
62671,,Alphonse Louis Paul Matruchot,,0000-0001-7910-116X,
19781,full_name,Med Dr Schäfer,62.0,0000-0002-0366-6858,Patrick Schäfer
19781,full_name,Med Dr Schäfer,56.0,0000-0003-1747-4862,Alexandra Schäfer-Griebel
19781,full_name,Med Dr Schäfer,58.0,0000-0002-6909-8275,Sebastian Schäfer
19781,full_name,Med Dr Schäfer,58.0,0000-0002-5816-9621,Elisabeth Schäfer
19781,full_name,Med Dr Schäfer,62.0,0000-0002-9711-3559,Ingo Schäfer
19781,full_name,Med Dr Schäfer,69.0,0000-0001-5159-0539,Gertrud Schäfer
7812,full_name,Edward Eric Walther,59.0,0000-0003-3847-997X,Edward Grissell
7812,,Edward Eric Walther,,0000-0002-7146-0771,
7812,,Edward Eric Walther,,0009-0001-5677-801X,
7812,,Edward Eric Walther,,0000-0003-0451-6082,
7812,,Edward Eric Walther,,0000-0002-5962-2619,
49583,,Chuck L McCartney,,0000-0002-0609-0612,
49583,full_name,Chuck L McCartney,62.0,0000-0002-5834-7950,Fiona McCartney
49583,full_name,Chuck L McCartney,69.0,0000-0002-8358-160X,Louis McCartney
49583,full_name,Chuck L McCartney,67.0,0000-0001-8608-9066,Graham McCartney
49583,full_name,Chuck L McCartney,57.0,0000-0002-7238-6358,Margaret McCartney
49583,full_name,Chuck L McCartney,61.0,0000-0001-5412-2626,Robert McCartney
14444,full_name,Commodore Owen,62.0,0000-0001-8873-7813,Jenny Commodore
14444,full_name,Commodore Owen,56.0,0000-0002-6578-3128,Commodore Ivan Attanayake
14444,full_name,Commodore Owen,64.0,0000-0003-3014-1704,Bess Commodore
14444,full_name,Commodore Owen,58.0,0000-0001-8052-4549,Michael Commodore
14444,,Commodore Owen,,0000-0002-0945-8822,
