name,record,failure_point
Capt Parker,"('""Capt.', None, 'Parker', None, 14812)",First Name is a title
Captain Moxon,"('""Captain""', None, 'Moxon', None, 12584)",First Name is a title
Captain Rason,"('""Captain""', None, 'Rason', None, 17174)",First Name is a title
Consul Popoff,"('""Consul""', None, 'Popoff', None, 16265)",First Name is a title
Dr Macklin,"('""Dr.', None, 'Macklin', None, 10440)",First Name is a title
Dr Maclagan,"('""Dr.', None, 'Maclagan', None, 10446)",First Name is a title
Dr Maten,"('""Dr.', None, 'Maten', None, 11214)",First Name is a title
Dr Mathé,"('""Dr.', None, 'Mathé', None, 11215)",First Name is a title
Dr Mckay,"('""Dr.', None, 'McKay', None, 10397)",First Name is a title
Dr Morton,"('""Dr.', None, 'Morton', None, 12507)",First Name is a title
